sample1	sample2	value	sample1_type	sample1_extraction_protocol_short	sample2_type	sample2_extraction_protocol_short	sample_type	sample_type_2	biomass_sample	biomass_sample_long
oral_human_A_1_microbiome2_H	oral_saliva_A_3_microbiome2_C	0.42435424354243545	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_1_qiagen_H	oral_human_A_2_qiagen_H	0.42694805194805197	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_A_1_qiagen_H	oral_human_A_3_qiagen_H	0.41569282136894825	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_A_1_qiagen_H	oral_saliva_A_1_qiagen_C	0.40397350993377484	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_A_1_qiagen_H	oral_saliva_A_2_qiagen_C	0.4006677796327212	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_A_1_qiagen_H	oral_saliva_A_3_qiagen_C	0.39057239057239057	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_A_2_microbiome20_H	oral_human_A_3_microbiome20_H	0.3783783783783784	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_2_microbiome20_H	oral_saliva_A_1_microbiome20_C	0.3903654485049834	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_2_microbiome20_H	oral_saliva_A_2_microbiome20_C	0.40609137055837563	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_2_microbiome20_H	oral_saliva_A_3_microbiome20_C	0.378839590443686	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_2_microbiome2_H	oral_human_A_3_microbiome2_H	0.3913857677902622	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_2_microbiome2_H	oral_saliva_A_1_microbiome2_C	0.4066543438077634	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_2_microbiome2_H	oral_saliva_A_2_microbiome2_C	0.4208566108007449	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_2_microbiome2_H	oral_saliva_A_3_microbiome2_C	0.4098360655737705	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_2_qiagen_H	oral_human_A_3_qiagen_H	0.44844517184942717	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_A_2_qiagen_H	oral_saliva_A_1_qiagen_C	0.4366883116883117	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_A_2_qiagen_H	oral_saliva_A_2_qiagen_C	0.3996655518394649	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_A_2_qiagen_H	oral_saliva_A_3_qiagen_C	0.40301003344481606	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_A_3_microbiome20_H	oral_saliva_A_1_microbiome20_C	0.408130081300813	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_3_microbiome20_H	oral_saliva_A_2_microbiome20_C	0.40268456375838924	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_3_microbiome20_H	oral_saliva_A_3_microbiome20_C	0.4132231404958678	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_3_microbiome2_H	oral_saliva_A_1_microbiome2_C	0.4149908592321755	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_3_microbiome2_H	oral_saliva_A_2_microbiome2_C	0.399624765478424	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_3_microbiome2_H	oral_saliva_A_3_microbiome2_C	0.4293381037567084	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_3_qiagen_H	oral_saliva_A_1_qiagen_C	0.4204355108877722	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_A_3_qiagen_H	oral_saliva_A_2_qiagen_C	0.3900343642611684	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_A_3_qiagen_H	oral_saliva_A_3_qiagen_C	0.37954939341421146	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_B_1_microbiome20_H	oral_human_B_2_microbiome20_H	0.4322820037105751	human.saliva.B	MM (20-min.)	human.saliva.B	MM (20-min.)	human	human saliva	high	High biomass
oral_human_B_1_microbiome20_H	oral_human_B_3_microbiome20_H	0.43223443223443225	human.saliva.B	MM (20-min.)	human.saliva.B	MM (20-min.)	human	human saliva	high	High biomass
oral_human_B_1_microbiome2_H	oral_human_B_2_microbiome2_H	0.448207171314741	human.saliva.B	MM (2-min.)	human.saliva.B	MM (2-min.)	human	human saliva	high	High biomass
oral_human_B_1_microbiome2_H	oral_human_B_3_microbiome2_H	0.43724696356275305	human.saliva.B	MM (2-min.)	human.saliva.B	MM (2-min.)	human	human saliva	high	High biomass
oral_human_B_1_qiagen_H	oral_human_B_2_qiagen_H	0.4665492957746479	human.saliva.B	PS	human.saliva.B	PS	human	human saliva	high	High biomass
oral_human_B_1_qiagen_H	oral_human_B_3_qiagen_H	0.4627949183303085	human.saliva.B	PS	human.saliva.B	PS	human	human saliva	high	High biomass
oral_human_B_2_microbiome20_H	oral_human_B_3_microbiome20_H	0.41589648798521256	human.saliva.B	MM (20-min.)	human.saliva.B	MM (20-min.)	human	human saliva	high	High biomass
oral_human_B_2_microbiome2_H	oral_human_B_3_microbiome2_H	0.43380855397148677	human.saliva.B	MM (2-min.)	human.saliva.B	MM (2-min.)	human	human saliva	high	High biomass
oral_human_B_2_qiagen_H	oral_human_B_3_qiagen_H	0.46153846153846156	human.saliva.B	PS	human.saliva.B	PS	human	human saliva	high	High biomass
oral_human_D_1_microbiome20_H	oral_human_D_2_microbiome20_H	0.4450084602368866	human.saliva.D	MM (20-min.)	human.saliva.D	MM (20-min.)	human	human saliva	high	High biomass
oral_human_D_1_microbiome20_H	oral_human_D_3_microbiome20_H	0.4654895666131621	human.saliva.D	MM (20-min.)	human.saliva.D	MM (20-min.)	human	human saliva	high	High biomass
oral_human_D_1_microbiome20_H	oral_saliva_D_1_microbiome20_C	0.4509466437177281	human.saliva.D	MM (20-min.)	human.saliva.D	MM (20-min.)	human	human saliva	high	High biomass
oral_human_D_1_microbiome20_H	oral_saliva_D_2_microbiome20_C	0.4370748299319728	human.saliva.D	MM (20-min.)	human.saliva.D	MM (20-min.)	human	human saliva	high	High biomass
oral_human_D_1_microbiome20_H	oral_saliva_D_3_microbiome20_C	0.4366438356164384	human.saliva.D	MM (20-min.)	human.saliva.D	MM (20-min.)	human	human saliva	high	High biomass
oral_human_D_1_microbiome2_H	oral_human_D_2_microbiome2_H	0.4344569288389513	human.saliva.D	MM (2-min.)	human.saliva.D	MM (2-min.)	human	human saliva	high	High biomass
oral_human_D_1_microbiome2_H	oral_human_D_3_microbiome2_H	0.5279187817258884	human.saliva.D	MM (2-min.)	human.saliva.D	MM (2-min.)	human	human saliva	high	High biomass
oral_human_D_1_microbiome2_H	oral_saliva_D_1_microbiome2_C	0.44324324324324327	human.saliva.D	MM (2-min.)	human.saliva.D	MM (2-min.)	human	human saliva	high	High biomass
oral_human_D_1_microbiome2_H	oral_saliva_D_2_microbiome2_C	0.45765765765765765	human.saliva.D	MM (2-min.)	human.saliva.D	MM (2-min.)	human	human saliva	high	High biomass
oral_human_D_1_microbiome2_H	oral_saliva_D_3_microbiome2_C	0.42987249544626593	human.saliva.D	MM (2-min.)	human.saliva.D	MM (2-min.)	human	human saliva	high	High biomass
oral_human_D_1_qiagen_H	oral_human_D_2_qiagen_H	0.43866171003717475	human.saliva.D	PS	human.saliva.D	PS	human	human saliva	high	High biomass
oral_human_D_1_qiagen_H	oral_human_D_3_qiagen_H	0.4831081081081081	human.saliva.D	PS	human.saliva.D	PS	human	human saliva	high	High biomass
oral_human_D_1_qiagen_H	oral_saliva_D_1_qiagen_C	0.43068391866913125	human.saliva.D	PS	human.saliva.D	PS	human	human saliva	high	High biomass
oral_human_D_1_qiagen_H	oral_saliva_D_2_qiagen_C	0.4483985765124555	human.saliva.D	PS	human.saliva.D	PS	human	human saliva	high	High biomass
oral_human_D_2_microbiome20_H	oral_human_D_3_microbiome20_H	0.48130841121495327	human.saliva.D	MM (20-min.)	human.saliva.D	MM (20-min.)	human	human saliva	high	High biomass
oral_human_D_2_microbiome20_H	oral_saliva_D_1_microbiome20_C	0.42905982905982903	human.saliva.D	MM (20-min.)	human.saliva.D	MM (20-min.)	human	human saliva	high	High biomass
oral_human_D_2_microbiome20_H	oral_saliva_D_2_microbiome20_C	0.4673202614379085	human.saliva.D	MM (20-min.)	human.saliva.D	MM (20-min.)	human	human saliva	high	High biomass
oral_human_D_2_microbiome20_H	oral_saliva_D_3_microbiome20_C	0.46710526315789475	human.saliva.D	MM (20-min.)	human.saliva.D	MM (20-min.)	human	human saliva	high	High biomass
oral_human_D_2_microbiome2_H	oral_human_D_3_microbiome2_H	0.4965753424657534	human.saliva.D	MM (2-min.)	human.saliva.D	MM (2-min.)	human	human saliva	high	High biomass
oral_human_D_2_microbiome2_H	oral_saliva_D_1_microbiome2_C	0.43447037701974867	human.saliva.D	MM (2-min.)	human.saliva.D	MM (2-min.)	human	human saliva	high	High biomass
oral_human_D_2_microbiome2_H	oral_saliva_D_2_microbiome2_C	0.4460431654676259	human.saliva.D	MM (2-min.)	human.saliva.D	MM (2-min.)	human	human saliva	high	High biomass
oral_human_D_2_microbiome2_H	oral_saliva_D_3_microbiome2_C	0.4547069271758437	human.saliva.D	MM (2-min.)	human.saliva.D	MM (2-min.)	human	human saliva	high	High biomass
oral_human_D_2_qiagen_H	oral_human_D_3_qiagen_H	0.4607329842931937	human.saliva.D	PS	human.saliva.D	PS	human	human saliva	high	High biomass
oral_human_D_2_qiagen_H	oral_saliva_D_1_qiagen_C	0.41030534351145037	human.saliva.D	PS	human.saliva.D	PS	human	human saliva	high	High biomass
oral_human_D_2_qiagen_H	oral_saliva_D_2_qiagen_C	0.39399624765478425	human.saliva.D	PS	human.saliva.D	PS	human	human saliva	high	High biomass
oral_human_D_2_qiagen_H	oral_saliva_D_3_qiagen_C	0.3915547024952015	human.saliva.D	PS	human.saliva.D	PS	human	human saliva	high	High biomass
oral_human_D_3_microbiome20_H	oral_saliva_D_1_microbiome20_C	0.47527910685805425	human.saliva.D	MM (20-min.)	human.saliva.D	MM (20-min.)	human	human saliva	high	High biomass
oral_human_D_3_microbiome20_H	oral_saliva_D_2_microbiome20_C	0.4645669291338583	human.saliva.D	MM (20-min.)	human.saliva.D	MM (20-min.)	human	human saliva	high	High biomass
oral_human_D_3_microbiome20_H	oral_saliva_D_3_microbiome20_C	0.47641509433962265	human.saliva.D	MM (20-min.)	human.saliva.D	MM (20-min.)	human	human saliva	high	High biomass
oral_human_D_3_microbiome2_H	oral_saliva_D_1_microbiome2_C	0.5171849427168577	human.saliva.D	MM (2-min.)	human.saliva.D	MM (2-min.)	human	human saliva	high	High biomass
oral_human_D_3_microbiome2_H	oral_saliva_D_2_microbiome2_C	0.5132450331125827	human.saliva.D	MM (2-min.)	human.saliva.D	MM (2-min.)	human	human saliva	high	High biomass
oral_human_D_3_microbiome2_H	oral_saliva_D_3_microbiome2_C	0.49584026622296173	human.saliva.D	MM (2-min.)	human.saliva.D	MM (2-min.)	human	human saliva	high	High biomass
oral_human_D_3_qiagen_H	oral_saliva_D_1_qiagen_C	0.4664371772805508	human.saliva.D	PS	human.saliva.D	PS	human	human saliva	high	High biomass
