sample1	sample2	value	sample1_type	sample1_extraction_protocol_short	sample2_type	sample2_extraction_protocol_short	sample_type	sample_type_2	biomass_sample	biomass_sample_long
oral_human_A_1_qiagen_H	oral_human_A_2_qiagen_H	0.2301129022210474	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_A_1_qiagen_H	oral_human_A_3_qiagen_H	0.0534966406600216	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_A_1_qiagen_H	oral_saliva_A_1_qiagen_C	0.10919347682546901	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_A_1_qiagen_H	oral_saliva_A_2_qiagen_C	0.12236941934235097	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_A_1_qiagen_H	oral_saliva_A_3_qiagen_C	0.13526893022490616	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_A_2_microbiome20_H	oral_human_A_3_microbiome20_H	0.05486772598874984	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_2_microbiome20_H	oral_saliva_A_1_microbiome20_C	0.15223691422414581	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_2_microbiome20_H	oral_saliva_A_2_microbiome20_C	0.0877607280986109	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_2_microbiome20_H	oral_saliva_A_3_microbiome20_C	0.07549519557826785	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_2_microbiome2_H	oral_human_A_3_microbiome2_H	0.03391058613996522	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_2_microbiome2_H	oral_saliva_A_1_microbiome2_C	0.08996943766552154	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_2_microbiome2_H	oral_saliva_A_2_microbiome2_C	0.06191920001475131	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_2_microbiome2_H	oral_saliva_A_3_microbiome2_C	0.06728108266959885	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_2_qiagen_H	oral_human_A_3_qiagen_H	0.2074607751480348	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_A_2_qiagen_H	oral_saliva_A_1_qiagen_C	0.1934923617511141	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_A_2_qiagen_H	oral_saliva_A_2_qiagen_C	0.14574703865758948	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_A_2_qiagen_H	oral_saliva_A_3_qiagen_C	0.18006669409260645	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
