sample1	sample2	value	sample1_type	sample1_extraction_protocol_short	sample2_type	sample2_extraction_protocol_short	sample_type	sample_type_2	biomass_sample	biomass_sample_long
oral_saline_vtm_A_2_microbiome2_C	oral_saline_vtm_A_3_microbiome2_C	0.4697855750487329	human.saline.rinse.VTM.A	MM (2-min.)	human.saline.rinse.VTM.A	MM (2-min.)	human	human oral saline rinse in VTM	low	Low biomass
oral_saline_vtm_A_2_qiagen_C	oral_saline_vtm_A_3_qiagen_C	0.3738738738738739	human.saline.rinse.VTM.A	PS	human.saline.rinse.VTM.A	PS	human	human oral saline rinse in VTM	low	Low biomass
oral_saline_vtm_D_1_microbiome20_C	oral_saline_vtm_D_2_microbiome20_C	0.4336842105263158	human.saline.rinse.VTM.D	MM (20-min.)	human.saline.rinse.VTM.D	MM (20-min.)	human	human oral saline rinse in VTM	low	Low biomass
oral_saline_vtm_D_1_microbiome20_C	oral_saline_vtm_D_3_microbiome20_C	0.46122448979591835	human.saline.rinse.VTM.D	MM (20-min.)	human.saline.rinse.VTM.D	MM (20-min.)	human	human oral saline rinse in VTM	low	Low biomass
oral_saline_vtm_D_1_microbiome2_C	oral_saline_vtm_D_2_microbiome2_C	0.47950819672131145	human.saline.rinse.VTM.D	MM (2-min.)	human.saline.rinse.VTM.D	MM (2-min.)	human	human oral saline rinse in VTM	low	Low biomass
oral_saline_vtm_D_1_microbiome2_C	oral_saline_vtm_D_3_microbiome2_C	0.453416149068323	human.saline.rinse.VTM.D	MM (2-min.)	human.saline.rinse.VTM.D	MM (2-min.)	human	human oral saline rinse in VTM	low	Low biomass
oral_saline_vtm_D_1_qiagen_C	oral_saline_vtm_D_2_qiagen_C	0.3752969121140142	human.saline.rinse.VTM.D	PS	human.saline.rinse.VTM.D	PS	human	human oral saline rinse in VTM	low	Low biomass
oral_saline_vtm_D_1_qiagen_C	oral_saline_vtm_D_3_qiagen_C	0.40589569160997735	human.saline.rinse.VTM.D	PS	human.saline.rinse.VTM.D	PS	human	human oral saline rinse in VTM	low	Low biomass
oral_saline_vtm_D_2_microbiome20_C	oral_saline_vtm_D_3_microbiome20_C	0.4573804573804574	human.saline.rinse.VTM.D	MM (20-min.)	human.saline.rinse.VTM.D	MM (20-min.)	human	human oral saline rinse in VTM	low	Low biomass
oral_saline_vtm_D_2_microbiome2_C	oral_saline_vtm_D_3_microbiome2_C	0.4786150712830957	human.saline.rinse.VTM.D	MM (2-min.)	human.saline.rinse.VTM.D	MM (2-min.)	human	human oral saline rinse in VTM	low	Low biomass
oral_saline_vtm_D_2_qiagen_C	oral_saline_vtm_D_3_qiagen_C	0.4282608695652174	human.saline.rinse.VTM.D	PS	human.saline.rinse.VTM.D	PS	human	human oral saline rinse in VTM	low	Low biomass
oral_saline_vtm_Q_1_microbiome20_C	oral_saline_vtm_Q_2_microbiome20_C	0.4436229205175601	human.saline.rinse.VTM.Q	MM (20-min.)	human.saline.rinse.VTM.Q	MM (20-min.)	human	human oral saline rinse in VTM	low	Low biomass
