sample1	sample2	value	sample1_type	sample1_extraction_protocol_short	sample2_type	sample2_extraction_protocol_short	sample_type	sample_type_2	biomass_sample	biomass_sample_long
oral_human_A_1_microbiome2_H	oral_saliva_A_1_microbiome2_C	0.15675539733887364	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_1_microbiome2_H	oral_saliva_A_2_microbiome2_C	0.06270197721465041	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_1_microbiome2_H	oral_saliva_A_3_microbiome2_C	0.0796055551560397	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_1_qiagen_H	oral_human_A_2_qiagen_H	0.8710925147161812	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_A_1_qiagen_H	oral_human_A_3_qiagen_H	0.517042044896156	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_A_1_qiagen_H	oral_saliva_A_1_qiagen_C	0.3737340247236521	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_A_1_qiagen_H	oral_saliva_A_2_qiagen_C	0.6360948015530479	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_A_1_qiagen_H	oral_saliva_A_3_qiagen_C	0.28349447881819223	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_A_2_microbiome20_H	oral_human_A_3_microbiome20_H	0.3189814060504306	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_2_microbiome20_H	oral_saliva_A_1_microbiome20_C	0.6609459072937385	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_2_microbiome20_H	oral_saliva_A_2_microbiome20_C	0.26017088759285967	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_2_microbiome20_H	oral_saliva_A_3_microbiome20_C	0.439149026173639	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_2_microbiome2_H	oral_human_A_3_microbiome2_H	0.19623158791426587	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_2_microbiome2_H	oral_saliva_A_1_microbiome2_C	0.31061275671925775	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_2_microbiome2_H	oral_saliva_A_2_microbiome2_C	0.14915590534473291	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_2_microbiome2_H	oral_saliva_A_3_microbiome2_C	0.21902961401376475	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_2_qiagen_H	oral_human_A_3_qiagen_H	0.3891113471997281	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_A_2_qiagen_H	oral_saliva_A_1_qiagen_C	0.5515329956737666	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
