row	column	plasmid_reads	plasmid_reads_log10	plasmid_reads_percent	extraction_protocol	well_type
B	12	254	2.404833717	0.00989559	MagMAX (20-min.)	sink
C	12	7962	3.901022173	0.237934435	MagMAX (20-min.)	sink
D	12	9094	3.95875495	0.38813487	MagMAX (20-min.)	sink
E	12	14817	4.170760281	0.626035153	MagMAX (20-min.)	sink
F	12	31707	4.501155153	0.961371699	MagMAX (20-min.)	source
G	12	8259	3.916927466	0.497680024	MagMAX (20-min.)	sink
H	12	1045	3.01911629	0.068322981	MagMAX (20-min.)	sink
A	1	4	0.602059991	0.000122238	PowerSoil	sink
B	1	10	1	0.000280513	PowerSoil	sink
C	1	849	2.92890769	0.028756266	PowerSoil	source
D	1	15	1.176091259	0.000839537	PowerSoil	sink
E	1	7	0.84509804	0.000294291	PowerSoil	sink
F	1	3	0.477121255	0.000117151	PowerSoil	sink
G	1	12	1.079181246	0.000401956	PowerSoil	sink
H	1	0	0	0	PowerSoil	sink
A	2	14	1.146128036	0.000379096	PowerSoil	sink
B	2	21	1.322219295	0.000714091	PowerSoil	sink
C	2	5	0.698970004	0.000253743	PowerSoil	sink
D	2	6	0.77815125	0.000308341	PowerSoil	sink
E	2	7	0.84509804	0.00020982	PowerSoil	sink
F	2	717	2.855519156	0.022278843	PowerSoil	source
G	2	10	1	0.00030641	PowerSoil	sink
H	2	9	0.954242509	0.000301558	PowerSoil	sink
A	3	6	0.77815125	0.006528836	PowerSoil	sink
B	3	6	0.77815125	0.000244539	PowerSoil	sink
C	3	6624	3.821120324	0.266109593	PowerSoil	source
D	3	8	0.903089987	0.000351509	PowerSoil	sink
E	3	17	1.230448921	0.000973933	PowerSoil	sink
F	3	1	0	5.20E-05	PowerSoil	sink
G	3	9	0.954242509	0.000320057	PowerSoil	sink
H	3	9	0.954242509	0.000376932	PowerSoil	sink
A	4	19	1.278753601	0.000535362	PowerSoil	sink
B	4	13	1.113943352	0.000436916	PowerSoil	sink
C	4	17	1.230448921	0.00055193	PowerSoil	sink
D	4	17	1.230448921	0.000606082	PowerSoil	sink
E	4	23	1.361727836	0.000750849	PowerSoil	sink
F	4	643	2.808210973	0.020838059	PowerSoil	source
G	4	9	0.954242509	0.000296883	PowerSoil	sink
H	4	5	0.698970004	0.000178968	PowerSoil	sink
A	5	7	0.84509804	0.000206789	PowerSoil	sink
B	5	16	1.204119983	0.000503335	PowerSoil	sink
C	5	19387	4.28751061	0.669579333	PowerSoil	source
D	5	16	1.204119983	0.00057793	PowerSoil	sink
E	5	25	1.397940009	0.000908496	PowerSoil	sink
F	5	11	1.041392685	0.000474179	PowerSoil	sink
G	5	7	0.84509804	0.000243784	PowerSoil	sink
H	5	4	0.602059991	0.000154137	PowerSoil	sink
A	6	8	0.903089987	0.000228722	PowerSoil	sink
B	6	2	0.301029996	9.51E-05	PowerSoil	sink
C	6	6	0.77815125	0.000291177	PowerSoil	sink
D	6	11	1.041392685	0.000549149	PowerSoil	sink
E	6	16	1.204119983	0.000507308	PowerSoil	sink
F	6	6810	3.833147112	0.29840936	PowerSoil	source
G	6	31	1.491361694	0.001120671	PowerSoil	sink
H	6	17	1.230448921	0.000484938	PowerSoil	sink
A	7	14	1.146128036	0.000406245	PowerSoil	sink
B	7	8	0.903089987	0.000257334	PowerSoil	sink
C	7	31012	4.491529775	0.947480981	PowerSoil	source
D	7	4	0.602059991	0.000190259	PowerSoil	sink
E	7	12	1.079181246	0.0006025	PowerSoil	sink
F	7	9	0.954242509	0.000474133	PowerSoil	sink
G	7	13	1.113943352	0.000613381	PowerSoil	sink
H	7	10	1	0.000463757	PowerSoil	sink
A	8	12	1.079181246	0.000475455	PowerSoil	sink
B	8	6	0.77815125	0.000307251	PowerSoil	sink
C	8	9	0.954242509	0.000360461	PowerSoil	sink
D	8	5	0.698970004	0.000301951	PowerSoil	sink
E	8	33	1.51851394	0.00153182	PowerSoil	sink
F	8	7415	3.870111155	0.496285389	PowerSoil	source
G	8	7	0.84509804	0.000352805	PowerSoil	sink
H	8	5	0.698970004	0.000260281	PowerSoil	sink
A	9	8	0.903089987	0.000462909	PowerSoil	sink
B	9	8	0.903089987	0.000341443	PowerSoil	sink
C	9	26537	4.423851824	0.874365733	PowerSoil	source
D	9	5	0.698970004	0.00024717	PowerSoil	sink
E	9	10	1	0.000617513	PowerSoil	sink
F	9	3	0.477121255	0.00275989	PowerSoil	sink
G	9	22	1.342422681	0.001722788	PowerSoil	sink
H	9	31	1.491361694	0.001919029	PowerSoil	sink
A	10	1	0	0.000203749	PowerSoil	sink
B	10	4	0.602059991	0.000776398	PowerSoil	sink
C	10	4	0.602059991	0.000717489	PowerSoil	sink
D	10	1	0	0.002242152	PowerSoil	sink
E	10	0	0	0	PowerSoil	sink
F	10	15322	4.185315458	0.502278315	PowerSoil	source
G	10	9	0.954242509	0.000291027	PowerSoil	sink
H	10	5	0.698970004	0.000299868	PowerSoil	sink
A	11	26	1.414973348	0.000604834	PowerSoil	sink
B	11	5	0.698970004	0.000184945	PowerSoil	sink
C	11	27404	4.437813959	0.771313575	PowerSoil	source
D	11	6	0.77815125	0.000207268	PowerSoil	sink
